Name,Price,link
"Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up to 10 weeks of battery life – Without Lockscreen Ads – Black",149.99,www.amazon.com//kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=zg_bs_g_amazon-devices_d_sccl_23/133-8620787-0587239?psc=1
"Echo Show 5 (3rd Gen, 2023 release) | Smart display with 2x the bass and clearer sound | Charcoal",65.99,www.amazon.com//All-new-Echo-Show-5/dp/B09B2SBHQK/ref=zg_bs_g_amazon-devices_d_sccl_24/133-8620787-0587239?psc=1
"Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage – Black",79.99,www.amazon.com//kindle-the-lightest-and-most-compact-kindle/dp/B09SWW583J/ref=zg_bs_g_amazon-devices_d_sccl_25/133-8620787-0587239?psc=1
"Amazon 9W Official OEM USB Charger and Power Adapter for Fire Tablets, Kindle eReaders, and Echo Dot",18.99,www.amazon.com//Amazon-Official-Charger-Adapter-eReaders/dp/B01I0IGFKC/ref=zg_bs_g_amazon-devices_d_sccl_26/133-8620787-0587239?psc=1
"Ring Indoor Cam (2nd Gen) | latest generation, 2023 release | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover | Black",39.99,www.amazon.com//All-new-Ring-Two-Way-Privacy-release/dp/B0B6GJBKRK/ref=zg_bs_g_amazon-devices_d_sccl_27/133-8620787-0587239?psc=1
"Made for Amazon, USB Power Cable (Eliminates the Need for AC Adapter)",30.00,www.amazon.com//Amazon-Mission-Power-Eliminates-Adapter/dp/B078KSHVCS/ref=zg_bs_g_amazon-devices_d_sccl_28/133-8620787-0587239?psc=1
"INSIGNIA 32-inch Class F20 Series Smart HD 720p Fire TV with Alexa Voice Remote (NS-32F201NA23, 2022 Model)",89.99,www.amazon.com//All-New-Insignia-32-inch-Class-NS-32F201NA23/dp/B09ZLTMWWH/ref=zg_bs_g_amazon-devices_d_sccl_29/133-8620787-0587239?psc=1
"Blink Mini Pan-Tilt Camera | Rotating indoor plug-in smart security camera, two-way audio, HD video, motion detection, Works with Alexa (White)",39.99,www.amazon.com//Blink-Mini-Pan-Tilt-Camera-White/dp/B09N6YCT3Y/ref=zg_bs_g_amazon-devices_d_sccl_30/133-8620787-0587239?psc=1
"Ailun Glass Screen Protector for iPhone 14 / iPhone 13 / iPhone 13 Pro [6.1 Inch] Display 3 Pack Tempered Glass, Case Friendly",5.98,www.amazon.com//Ailun-Protector-Compatible-Tempered-Friendly/dp/B09CSSP9C1/ref=zg_bs_g_wireless_d_sccl_1/146-0562874-3803350?psc=1
"Ailun 3 Pack Screen Protector for iPhone 15 Pro Max [6.7 inch] + 3 Pack Camera Lens Protector with Installation Frame,Sensor Protection,Dynamic Island Compatible,Case Friendly Tempered Glass Film",6.89,www.amazon.com//Ailun-Protector-Installation-Protection-Compatible/dp/B0CCYNV9PC/ref=zg_bs_g_wireless_d_sccl_2/146-0562874-3803350?psc=1
"NEW'C [3 Pack Designed for iPhone 14, 13, 13 Pro (6.1"") Screen Protector Tempered Glass, Case Friendly Anti Scratch Bubble Free Ultra Resistant",6.99,www.amazon.com//NEWC-Designed-Protector-Tempered-Resistant/dp/B09F3P3DQD/ref=zg_bs_g_wireless_d_sccl_3/146-0562874-3803350?psc=1
"Ailun 3Pack Privacy Screen Protector for iPhone 15 Pro Max [6.7 inch]+3Pack Camera Lens Protector,Sensor Protection,Dynamic Island Compatible,Anti Spy Tempered Glass[9H Hardness]-HD[Black][6 Pack]",7.89,www.amazon.com//Ailun-Protector-Protection-Compatible-Tempered/dp/B0CCYNCW8G/ref=zg_bs_g_wireless_d_sccl_4/146-0562874-3803350?psc=1
"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",13.49,www.amazon.com//Apple-20W-USB-C-Power-Adapter/dp/B08L5M9BTJ/ref=zg_bs_g_wireless_d_sccl_5/146-0562874-3803350?psc=1
"INIU Portable Charger, Slimmest 10000mAh 5V/3A Power Bank, USB C in&out High-Speed Charging Battery Pack, External Phone Powerbank Compatible with iPhone 15 14 13 12 11 Samsung S22 S21 Google iPad etc",29.99,www.amazon.com//INIU-High-Speed-Flashlight-Powerbank-Compatible/dp/B07CZDXDG8/ref=zg_bs_g_wireless_d_sccl_6/146-0562874-3803350?psc=1
"Smartphone Solar Imaging, Enhancing Photo Lens 2 Pack",9.99,www.amazon.com//Smartphone-Solar-Imaging-Enhancing-Photo/dp/B0CFBX3KNN/ref=zg_bs_g_wireless_d_sccl_7/146-0562874-3803350?psc=1
"Misxi 2 Pack Hard PC Case with Tempered Glass Screen Protector Compatible with Apple Watch Series 9 (2023) Series 8 Series 7 45mm, Ultra-Thin Scratch Resistant Cover for iWatch S9/S8/S7, Black",9.96,www.amazon.com//Misxi-Protector-Compatible-Ultra-Thin-Protective/dp/B09JWDZ64S/ref=zg_bs_g_wireless_d_sccl_8/146-0562874-3803350?psc=1
"PopSockets Phone Grip with Expanding Kickstand, Black",9.97,www.amazon.com//PopSockets-PopGrip-Swappable-Phones-Tablets/dp/B07P29XQR4/ref=zg_bs_g_wireless_d_sccl_9/146-0562874-3803350?psc=1
"Ailun 3 Pack Screen Protector for iPhone 14 Pro Max [6.7 inch] + 3 Pack Camera Lens Protector,Sensor Protection,Dynamic Island Compatible,Case Friendly Tempered Glass Film,[9H Hardness] - HD",7.99,www.amazon.com//Ailun-Protector-Protection-Compatible-Friendly/dp/B0B76KJXWV/ref=zg_bs_g_wireless_d_sccl_10/146-0562874-3803350?psc=1
"Ailun Glass Screen Protector Compatible for iPhone 11 / iPhone XR [6.1 Inch], 3 Pack Tempered Glass",5.98,www.amazon.com//AILUN-Protector-Compatible-Tempered-Anti-Scratch/dp/B07H2V5YLH/ref=zg_bs_g_wireless_d_sccl_11/146-0562874-3803350?psc=1
"SENSYNE 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera",15.98,www.amazon.com//Sensyne-Extendable-Wireless-Compatible-Android/dp/B09TQY66NH/ref=zg_bs_g_wireless_d_sccl_12/146-0562874-3803350?psc=1
"3 in 1 Charging Station for iPhone, Wireless Charger for iPhone 15 14 13 12 11 X Pro Max & Apple Watch - Charging Stand Dock for AirPods",18.99,www.amazon.com//Charging-Station-iPhone-Wireless-Charger/dp/B0BFCC18FS/ref=zg_bs_g_wireless_d_sccl_13/146-0562874-3803350?psc=1
Ailun Privacy Screen Protector for iPhone 14 / iPhone 13 / iPhone 13 Pro [6.1 Inch] 2 Pack Anti Spy Private Tempered Glass Anti-Scratch Case Friendly [Black] [Not for iPhone 13 Pro Max] [2 Pack],5.99,www.amazon.com//Ailun-Protector-Compatible-Tempered-Anti-Scratch/dp/B09F2JY5FF/ref=zg_bs_g_wireless_d_sccl_14/146-0562874-3803350?psc=1
"TAURI 5 in 1 Designed for iPhone 14 Case Clear, [Not Yellowing] with 2X Screen Protectors + 2X Camera Lens Protectors, [Military Grade Drop Protection] Shockproof Slim 14 Cover 6.1 Inch",13.49,www.amazon.com//TAURI-14-Yellowing-Protection-Shockproof/dp/B0B5TLRTZ5/ref=zg_bs_g_wireless_d_sccl_15/146-0562874-3803350?psc=1
"Hiearcool Waterproof Phone Pouch, Waterproof Phone Case for iPhone 15 14 13 Pro Max, IPX8 Cellphone Dry Bag Beach Cruise Ship Essentials 2Pack-8.3""",9.99,www.amazon.com//Hiearcool-Waterproof-Phone-Pouch-Underwater-2/dp/B079HV3TC9/ref=zg_bs_g_wireless_d_sccl_16/146-0562874-3803350?psc=1
"Phone Charger [MFi Certified] 2 Pack 20W PD USB C Wall Fast Charger Adapter with 2 Pack 6FT Type C to Lightning Cable Compatible for iPhone 14 13 12 11 Pro Max XR XS X,iPad",9.98,www.amazon.com//Charger-Certified-Adapter-Lightning-Compatible/dp/B0BW5X89MM/ref=zg_bs_g_wireless_d_sccl_17/146-0562874-3803350?psc=1
"USB Wall Charger, LUOATIP 3-Pack 2.1A/5V Dual Port USB Cube Power Adapter Charger Plug Block Charging Box Brick for iPhone 13 12 11 Pro Max SE XS XR X 8 7 6 6S Plus, Samsung, LG, Moto, Android Phones",7.99,www.amazon.com//Charger-LUOATIP-Adapter-Charging-Replacement/dp/B07TK6MPNB/ref=zg_bs_g_wireless_d_sccl_18/146-0562874-3803350?psc=1
Ailun Glass Screen Protector for iPhone 12 / iPhone 12 Pro 2020 6.1 Inch 3 Pack Case Friendly Tempered Glass,5.98,www.amazon.com//Ailun-Protector-Compatible-Friendly-Tempered/dp/B08DGNGDFR/ref=zg_bs_g_wireless_d_sccl_19/146-0562874-3803350?psc=1
"Miracase Magnetic for iPhone 15 Pro Max Case 6.7'' [Compatible with Magsafe] Full-Body Drop Proof Bumper Phone Case for iPhone 15 Pro Max with Built-in 9H Tempered Glass Screen Protector,Blue",19.95,www.amazon.com//Miracase-iPhone-Pro-Max-Compatible/dp/B0CDPGGL3C/ref=zg_bs_g_wireless_d_sccl_20/146-0562874-3803350?psc=1
Ailun Glass Screen Protector for Galaxy S24 Ultra [6.8 Inch] 3Pack + 3Pack Camera Lens Tempered Glass Fingerprint Unlock 0.25mm Ultra Clear Anti-Scratch Case Friendly [Not For S24/S24 Plus],6.99,www.amazon.com//Ailun-Galaxy-S24-Ultra-Anti-Scratch/dp/B0CQSD9JKD/ref=zg_bs_g_wireless_d_sccl_21/146-0562874-3803350?psc=1
"Ailun 2 Pack Screen Protector for iPhone 13 [6.1 inch Display] with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD[4 Pack]",8.89,www.amazon.com//Ailun-Protector-Compatible-Tempered-Hardness/dp/B09CTF763F/ref=zg_bs_g_wireless_d_sccl_22/146-0562874-3803350?psc=1
"Basesailor USB to USB C Adapter 2Pack,USBC Female to A Male OTG Charger Type C Converter for Apple Watch Ultra iWatch 7 8 9,iPhone 15 14 13 Plus Pro Max,AirPods 3,iPad Air,Car,Samsung Galaxy S24 24 23",8.99,www.amazon.com//Female-Adapter-Charger-Airpods-Samsung/dp/B079LYHNSR/ref=zg_bs_g_wireless_d_sccl_23/146-0562874-3803350?psc=1
"Ailun 3 Pack Camera Lens Protector for iPhone 15 Pro 6.1"" ＆ iPhone 15 Pro Max 6.7"",Tempered Glass,9H Hardness,Ultra HD,Anti-Scratch,Easy to Install,Case Friendly [Does not Affect Night Shots]",5.89,www.amazon.com//Ailun-Protector-Tempered-Hardness-Anti-Scratch/dp/B0CCYMWV47/ref=zg_bs_g_wireless_d_sccl_24/146-0562874-3803350?psc=1
"ESR for iPhone 15 Pro Max Case, Compatible with MagSafe, Military-Grade Protection, Yellowing Resistant, Scratch-Resistant Back, Magnetic Phone Case for iPhone 15 Pro Max, Classic Series, Clear",18.99,www.amazon.com//ESR-Compatible-Military-Grade-Protection-Scratch-Resistant/dp/B0CC1F4V7Q/ref=zg_bs_g_wireless_d_sccl_25/146-0562874-3803350?psc=1
Wireless Charger iPhone Charging Station: 3 in 1 Charger Stand Multiple Devices for Apple - iPhone 15 14 Pro Max 13 12 11 - Watch 9 8 7 6 5 4 3 2 Se - Airpods 3 2 Pro,17.99,www.amazon.com//Wireless-Charger-iPhone-Charging-Station/dp/B0C2BMNHW2/ref=zg_bs_g_wireless_d_sccl_26/146-0562874-3803350?psc=1
"Mkeke for iPhone 15 Case Clear, [Not Yellowing] [Military-Grade Drop Protection] Clear Slim Phone Cases for Apple iPhone 15 with Shockproof Bumper 2023 - Clear",8.98,www.amazon.com//Mkeke-Yellowing-Military-Protection-Shockproof/dp/B0CBRW995T/ref=zg_bs_g_wireless_d_sccl_27/146-0562874-3803350?psc=1
"Apple Pencil (2nd Generation): Pixel-Perfect Precision and Industry-Leading Low Latency, Perfect for Note-Taking, Drawing, and Signing documents. Attaches, Charges, and Pairs magnetically.",63.88,www.amazon.com//Apple-MU8F2AM-A-Pencil-Generation/dp/B07K1WWBJK/ref=zg_bs_g_wireless_d_sccl_28/146-0562874-3803350?psc=1
"OCTOBUDDY - Silicone Suction Phone Case Adhesive Mount - Hands-Free, Strong Grip Holder for Selfies and Videos - Durable, Easy to Use - iPhone and Android Compatible - 2.25″ x 3.25″, Chalk Pink",12.99,www.amazon.com//OCTOBUDDY-Silicone-Suction-Phone-Adhesive/dp/B09KX1LKGR/ref=zg_bs_g_wireless_d_sccl_29/146-0562874-3803350?psc=1
𝟐𝟎𝟐𝟒 𝐔𝐩𝐠𝐫𝐚𝐝𝐞𝐝 for Apple Watch Charger Magnetic Fast Charging Cable [Portable] Magnetic Wireless Charging Compatible with iWatch Series Ultra/9/8/7/6/SE/SE2/5/4/3/2-[3.3FT] White,7.99,www.amazon.com//%F0%9D%9F%90%F0%9D%9F%8E%F0%9D%9F%90%F0%9D%9F%90-%F0%9D%90%94%F0%9D%90%A9%F0%9D%90%A0%F0%9D%90%AB%F0%9D%90%9A%F0%9D%90%9D%F0%9D%90%9E%F0%9D%90%9D-Magnetic-Charging-Compatible/dp/B0B2R7G9ML/ref=zg_bs_g_wireless_d_sccl_30/146-0562874-3803350?psc=1
"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",16.29,www.amazon.com//AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00MNV8E0C/ref=zg_bs_g_climate-pledge_d_sccl_1/130-8201580-7184342?psc=1
"Nespresso Capsules VertuoLine, Medium and Dark Roast Coffee, Variety Pack, Stormio, Odacio, Melozio, 30 Count, Brews 7.77 Fl Oz (Pack of 3 )",37.50,www.amazon.com//Nespresso-Vertuoline-Seller-Assortment-Count/dp/B01N05APQY/ref=zg_bs_g_climate-pledge_d_sccl_2/130-8201580-7184342?psc=1
"Hero Cosmetics Mighty Patch™ Original Patch - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin (36 Count)",11.97,www.amazon.com//Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_climate-pledge_d_sccl_3/130-8201580-7184342?psc=1
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls",35.49,www.amazon.com//Charmin-Toilet-Family-Cushiony-Sheets/dp/B0798DVT68/ref=zg_bs_g_climate-pledge_d_sccl_4/130-8201580-7184342?psc=1
"Amazon Basics 36-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",14.29,www.amazon.com//AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00LH3DMUO/ref=zg_bs_g_climate-pledge_d_sccl_5/130-8201580-7184342?psc=1
"All-new Amazon Fire TV Stick 4K streaming device, more than 1.5 million movies and TV episodes, supports Wi-Fi 6, watch free & live TV",29.99,www.amazon.com//all-new-amazon-fire-tv-stick-4k/dp/B0BP9MDCQZ/ref=zg_bs_g_climate-pledge_d_sccl_6/130-8201580-7184342?psc=1
"Amazon Basics 2-Ply Toilet Paper, 30 Rolls (5 Packs of 6), Equivalent to 129 regular rolls",25.21,www.amazon.com//Amazon-Basics-2-Ply-Toilet-Paper/dp/B095CN96JS/ref=zg_bs_g_climate-pledge_d_sccl_7/130-8201580-7184342?psc=1
"Amazon Basics 2-Ply Paper Towels, Flex-Sheets, 150 Sheets per Roll, 12 Rolls (2 Packs of 6), White",19.26,www.amazon.com//Amazon-Basics-Ply-Paper-Towel/dp/B09BWFX1L6/ref=zg_bs_g_climate-pledge_d_sccl_8/130-8201580-7184342?psc=1
"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",5.99,www.amazon.com//Scott-Comfortplus-Toilet-Tissue-Double/dp/B07BGLT25K/ref=zg_bs_g_climate-pledge_d_sccl_9/130-8201580-7184342?psc=1
Amazon Echo Pop | Full sound compact smart speaker with Alexa | Charcoal,22.99,www.amazon.com//Introducing-sound-compact-speaker-Charcoal/dp/B09WNK39JN/ref=zg_bs_g_climate-pledge_d_sccl_10/130-8201580-7184342?psc=1
"Cottonelle Fresh Feel Flushable Wet Wipes, Adult Wet Wipes, 8 Flip-Top Packs, 42 Wipes Per Pack (336 Total Wipes), Packaging May Vary",15.79,www.amazon.com//Cottonelle-FreshCare-Flushable-42-Count-Flip-Top/dp/B07ND3WR64/ref=zg_bs_g_climate-pledge_d_sccl_11/130-8201580-7184342?psc=1
"Davids Fluoride Free Nano Hydroxyapatite Toothpaste for Remineralizing Enamel & Sensitive Relief, Whitening, Antiplaque, SLS Free, Natural Peppermint, 5.25oz, Made in USA",9.95,www.amazon.com//Davids-Hydroxyapatite-Toothpaste-Sensitive-Peppermint/dp/B09JHSVM58/ref=zg_bs_g_climate-pledge_d_sccl_12/130-8201580-7184342?psc=1
"Clean Skin Club Clean Towels XL, 100% USDA Biobased Face Towel, Disposable Face Towelette, Makeup Remover Dry Wipes, Ultra Soft, 50 Ct, 1 Pack",17.95,www.amazon.com//Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_climate-pledge_d_sccl_13/130-8201580-7184342?psc=1
"Charmin Ultra Strong Clean Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls",35.49,www.amazon.com//Charmin-Strong-Toilet-Family-Regular/dp/B09YKYV9N9/ref=zg_bs_g_climate-pledge_d_sccl_14/130-8201580-7184342?psc=1
"Neutrogena Cleansing Fragrance Free Makeup Remover Face Wipes, Cleansing Facial Towelettes for Waterproof Makeup, Alcohol-Free, Unscented, 100% Plant-Based Fibers, Twin Pack, 2 x 25 ct",9.79,www.amazon.com//Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_climate-pledge_d_sccl_15/130-8201580-7184342?psc=1
"Affresh Washing Machine Cleaner, Cleans Front Load and Top Load Washers, Including HE, 6 Tablets",11.83,www.amazon.com//Affresh-Washer-Machine-Cleaner-6-Tablets/dp/B00C91Q86I/ref=zg_bs_g_climate-pledge_d_sccl_16/130-8201580-7184342?psc=1
"NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Healthy Muscle Function, and Immune Support, Non-GMO, Gluten Free in Cold-Pressed Olive Oil, Packaging Vary ( Mini Softgel), 360 Count",9.99,www.amazon.com//NatureWise-Vitamin-Function-Cold-Pressed-Gluten-Free/dp/B00GB85JR4/ref=zg_bs_g_climate-pledge_d_sccl_17/130-8201580-7184342?psc=1
"Cottonelle Ultra Clean Toilet Paper with Active CleaningRipples Texture, 24 Family Mega Rolls (24 Family Mega Rolls = 132 Regular Rolls) (4 Packs of 6), 353 Sheets Per Roll, Packaging May Vary",27.59,www.amazon.com//Cottonelle-CleaningRipples-Texture-Regular-Packaging/dp/B0CM4NXMV2/ref=zg_bs_g_climate-pledge_d_sccl_18/130-8201580-7184342?psc=1
"Kleenex Expressions Ultra Soft Facial Tissues, 120 Count (Pack of 8), 3-Ply, Packaging May Vary",17.19,www.amazon.com//Kleenex-Expressions-Facial-Tissues-Tissue/dp/B09N9WGLTC/ref=zg_bs_g_climate-pledge_d_sccl_19/130-8201580-7184342?psc=1
"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",24.99,www.amazon.com//fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_g_climate-pledge_d_sccl_20/130-8201580-7184342?psc=1
"Amazon Brand - Solimo Dark Roast Coffee Pods, Compatible with Keurig 2.0 K-Cup Brewers 100 Count(Pack of 1)",32.17,www.amazon.com//Amazon-Brand-Solimo-Compatible-Brewers/dp/B079V8CKDM/ref=zg_bs_g_climate-pledge_d_sccl_21/130-8201580-7184342?psc=1
"Nespresso Capsules VertuoLine, Double Espresso Chiaro, Medium Roast Coffee, 10 Count (Pack of 3) Coffee Pods, Brews 2.7 Ounce (VERTUOLINE ONLY)",34.50,www.amazon.com//Nespresso-VertuoLine-Double-Espresso-Chiaro/dp/B07M8P8F73/ref=zg_bs_g_climate-pledge_d_sccl_22/130-8201580-7184342?psc=1
"Physician's Choice Probiotics 60 Billion CFU - 10 Strains + Organic Prebiotics - Immune, Digestive & Gut Health - Supports Occasional Constipation, Diarrhea, Gas & Bloating - for Women & Men - 30ct",21.97,www.amazon.com//Probiotics-Formulated-Probiotic-Supplement-Acidophilus/dp/B079H53D2B/ref=zg_bs_g_climate-pledge_d_sccl_23/130-8201580-7184342?psc=1
CeraVe Moisturizing Cream | Body and Face Moisturizer for Dry Skin | Body Cream with Hyaluronic Acid and Ceramides | Daily Moisturizer | Oil-Free | Fragrance Free | Non-Comedogenic | 19 Ounce,15.73,www.amazon.com//CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_climate-pledge_d_sccl_24/130-8201580-7184342?psc=1
"Crest 3D Whitestrips, Professional Effects, Teeth Whitening Strip Kit, 44 Strips (22 Count Pack)",45.99,www.amazon.com//Crest-Professional-Whitestrips-Whitening-Treatments/dp/B00AHAWWO0/ref=zg_bs_g_climate-pledge_d_sccl_25/130-8201580-7184342?psc=1
"Garden of Life, Dr. Formulated Women's Probiotics Once Daily, 16 Strains, 50 Billion, 30 Count (Pack of 1)",31.97,www.amazon.com//Garden-Life-Formulated-Probiotics-Guaranteed/dp/B00Y8MP4G6/ref=zg_bs_g_climate-pledge_d_sccl_26/130-8201580-7184342?psc=1
